深圳斯达领科网络科技有限公司	跨境电商产品开发（服装）
深圳市龙成伟业科技有限公司	亚马逊运营  高提成+双休+五险+补贴
深圳市志康科技有限公司	人力资源专员/人事主管
深圳市风云电池有限公司	业务跟单
深圳市瑞科恩科技有限公司	海外推广总监
深圳市际客电子商务有限公司	英语管培生（接受应届生）
深圳市乐骑智能科技有限公司	(双休）亚马逊客服专员
深圳细刻网络科技有限公司	运营助理
深圳市深陆贸易有限公司	英语客服
深圳建兴实业有限公司	亚马逊推广/品牌推广/网络推广
深圳市亿莱电子商务有限公司	产品编辑 电商产品编辑 英语编辑
深圳市德仁光电科技有限公司	船务专员
深圳市创佳兴礼品有限公司	亚马逊销售/速卖通/ebay销售（底薪+提成+急聘）
深圳市龙达腾飞科技有限公司	网络客服销售
德瑞兴（深圳）咨询有限公司	Merchandiser
深圳市未来基石管理咨询有限公司	高级销售专员（双休+急聘）
中控智慧科技股份有限公司	海外推广优化师
深圳中电投资股份有限公司	PHP开发工程师
深圳市比斯拓科技有限公司	仓库主管
深圳市莆晶电子科技有限公司	亚马逊运营专员/助理
深圳佳友国际货运代理有限公司	货运代理销售代表/物流顾问
深圳市乔威电源有限公司	海外品牌业务员
深圳市乔安科技有限公司	Amazon运营主管/地铁口/包住
深圳市艺帆电子商务有限公司	速卖通Aliexpress业务员客服
深圳市博迪科技开发有限公司	品牌总监
深圳市豪瑞祥科技有限公司	日语SEO推广/网站运营
深圳爵瑞实业有限公司	亚马逊销售主管
深圳市亚鹏联合货运代理有限公司	销售运营助理
深圳市爱奇迹科技有限公司	产品经理（产品中心）
辰马实业（深圳）有限公司	包装印刷报价员/预算员（高薪诚聘）
